community_area,ca_num,count,population,rateper100K
West Garfield Park,26,701,18001,3894.228098
Fuller Park,37,102,2876,3546.59249
North Lawndale,29,1134,35912,3157.718868
Washington Park,40,342,11717,2918.835879
East Garfield Park,27,599,20567,2912.432538
Englewood,68,818,30654,2668.493508
Greater Grand Crossing,69,829,32602,2542.788786
West Englewood,67,901,35505,2537.670751
Riverdale,54,156,6482,2406.66461
Chatham,44,613,31028,1975.63491
Austin,25,1909,98514,1937.795643
South Shore,43,942,49767,1892.820544
Auburn Gresham,71,889,48743,1823.85163
Roseland,49,791,44619,1772.787378
South Chicago,46,541,31198,1734.085518
Grand Boulevard,38,342,21929,1559.57864
Woodlawn,42,403,25983,1551.014125
Douglas,35,281,18238,1540.739116
Humboldt Park,23,865,56323,1535.784671
Loop,32,433,29283,1478.673633
New City,61,648,44377,1460.215878
West Pullman,53,410,29651,1382.75269
Avalon Park,45,129,10185,1266.568483
Washington Heights,73,324,26493,1222.964557
Pullman,50,88,7325,1201.365188
Burnside,47,34,2916,1165.980796
Near West Side,28,620,54881,1129.717024
Chicago Lawn,66,622,55628,1118.141943
Armour Square,34,144,13391,1075.349115
South Deering,51,161,15109,1065.590046
Oakland,36,59,5918,996.9584319
Calumet Heights,48,124,13812,897.770055
Kenwood,39,142,17841,795.9195112
West Town,24,612,81432,751.5473033
South Lawndale,30,574,79288,723.9430935
Lower West Side,31,243,35769,679.3592217
Brighton Park,58,308,45368,678.8926115
Gage Park,63,270,39894,676.7935028
Near North Side,8,534,80484,663.4859102
Ashburn,70,237,41081,576.9090334
Rogers Park,1,306,54991,556.4546926
Near South Side,33,116,21390,542.3094904
Uptown,3,304,56362,539.3704979
Morgan Park,75,121,22544,536.728176
McKinley Park,59,80,15612,512.4263387
Hermosa,20,128,25010,511.7952819
Logan Square,22,371,73595,504.1103336
West Lawn,65,167,33355,500.6745615
Albany Park,14,254,51542,492.8019867
Hyde Park,41,123,25681,478.9533118
Belmont Cragin,19,372,78743,472.4229455
West Elsdon,62,81,18109,447.2914021
Archer Heights,57,57,13393,425.5954603
Lake View,6,401,94368,424.9321804
Hegewisch,55,39,9426,413.7492043
Bridgeport,60,131,31977,409.6694499
Irving Park,16,216,53359,404.8051875
Avondale,21,154,39262,392.2367684
East Side,52,84,23042,364.5516882
West Ridge,2,246,71942,341.94212
Lincoln Park,7,200,64116,311.9346185
North Park,13,55,17931,306.7313591
Garfield Ridge,56,103,34513,298.4382696
Portage Park,15,189,64124,294.7414385
Montclare,18,39,13426,290.481156
Edgewater,77,162,56521,286.6191327
O'Hare,76,35,12756,274.3806836
Lincoln Square,4,104,39493,263.3378067
Dunning,17,106,41932,252.7902318
North Center,5,74,31867,232.2151442
Clearing,64,45,23139,194.4768573
Beverly,72,37,20034,184.6860337
Jefferson Park,11,39,25448,153.2536938
Mount Greenwood,74,22,19093,115.2254753
Forest Glen,12,20,18508,108.0613789
Norwood Park,10,39,37023,105.3399238
Edison Park,9,8,11187,71.51157594
