di,case_num,date,block,iucr,type,description,loc_descrip,arrest,domestic,beat,district,ward,community,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
22451,HZ250365,5/3/2016 21:08,074XX S MAPLEWOOD AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,835,8,18,66,01A,1160663,1855290,2016,5/10/2016 15:56,41.7586063,-87.68674885,"(41.758606301, -87.686748849)"
22452,HZ249724,5/3/2016 14:00,049XX W MONROE ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1533,15,28,25,01A,1143598,1899211,2016,5/10/2016 15:56,41.87946715,-87.74819558,"(41.879467146, -87.748195577)"
22453,HZ250314,5/4/2016 0:14,006XX E BOWEN AVE,110,HOMICIDE,FIRST DEGREE MURDER,YARD,FALSE,FALSE,214,2,4,38,01A,1181350,1877623,2016,5/11/2016 15:50,41.8194384,-87.61024451,"(41.819438395, -87.610244508)"
22454,HZ250488,5/4/2016 0:01,008XX W 18TH ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1235,12,25,31,01A,1171236,1891624,2016,5/11/2016 15:50,41.85808595,-87.64693604,"(41.858085945, -87.646936043)"
22455,HZ235328,5/4/2016 15:10,076XX S SOUTH CHICAGO AVE,110,HOMICIDE,FIRST DEGREE MURDER,GAS STATION,FALSE,FALSE,411,4,5,45,01A,1186357,1854748,2016,5/11/2016 15:50,41.75655047,-87.59260005,"(41.756550472, -87.592600053)"
22456,HZ252854,5/6/2016 3:44,084XX S ST LAWRENCE AVE,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,632,6,6,44,01A,1181712,1849087,2016,5/13/2016 15:51,41.74112456,-87.60979737,"(41.741124557, -87.609797367)"
22457,HZ254226,5/6/2016 20:10,076XX S MARYLAND AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,624,6,6,69,01A,1183225,1854568,2016,5/13/2016 15:51,41.75612996,-87.60408369,"(41.756129962, -87.604083694)"
22458,HZ254577,5/7/2016 2:14,074XX S UNION AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,732,7,17,68,01A,1172919,1855568,2016,5/14/2016 15:53,41.75910761,-87.64182333,"(41.759107606, -87.641823327)"
22459,HZ255530,5/7/2016 20:36,052XX S KOLIN AVE,110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,FALSE,FALSE,815,8,23,57,01A,1148254,1869436,2016,5/14/2016 15:53,41.79767217,-87.73186488,"(41.797672173, -87.731864881)"
22460,HZ255700,5/7/2016 23:45,004XX S CICERO AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1533,15,24,25,01A,1144465,1897476,2016,5/14/2016 15:53,41.87468983,-87.74505572,"(41.874689829, -87.745055715)"
22415,HZ217559,4/8/2016 0:07,047XX W HURON ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,1111,11,28,25,01A,1144627,1904218,2016,4/15/2016 9:20,41.89318763,-87.744291,"(41.893187629, -87.744291004)"
22416,HZ217599,4/8/2016 0:56,057XX W GRAND AVE,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,2515,25,37,19,01A,1137560,1913770,2016,4/15/2016 9:20,41.91952967,-87.77001549,"(41.919529667, -87.77001549)"
22461,HZ256331,5/8/2016 16:00,034XX W ARTHINGTON ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1133,11,24,27,01A,1153659,1895830,2016,5/15/2016 15:49,41.86999515,-87.71134284,"(41.86999515, -87.711342835)"
22462,HZ256216,5/8/2016 17:45,002XX S KARLOV AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1115,11,28,26,01A,1149097,1898598,2016,5/15/2016 15:49,41.87768035,-87.72801978,"(41.877680349, -87.728019783)"
22463,HZ255913,5/8/2016 5:46,049XX N LAKE SHORE DR NB,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,2024,20,48,3,01A,1170465,1933226,2016,5/15/2016 15:49,41.97226092,-87.6485468,"(41.972260915, -87.648546802)"
22464,HZ256000,5/8/2016 9:35,076XX S PRAIRIE AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,623,6,6,69,01A,1179361,1854318,2016,5/15/2016 15:49,41.75553294,-87.61825192,"(41.755532941, -87.618251918)"
22473,HZ253080,5/7/2016 15:10,082XX S MARYLAND AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,631,6,8,44,01A,1183336,1850629,2016,5/16/2016 15:48,41.74531835,-87.60379931,"(41.74531835, -87.603799307)"
22465,HZ256874,5/9/2016 1:30,045XX S DREXEL BLVD,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,TRUE,TRUE,221,2,4,39,01A,1182955,1875110,2016,5/16/2016 15:50,41.81250532,-87.604435,"(41.812505323, -87.604434996)"
22466,HZ257331,5/9/2016 12:18,030XX W JACKSON BLVD,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1124,11,28,27,01A,1156211,1898534,2016,5/16/2016 15:50,41.87736408,-87.7019006,"(41.877364077, -87.701900603)"
22467,HZ257331,5/9/2016 12:18,030XX W JACKSON BLVD,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1124,11,28,27,01A,1156211,1898534,2016,5/16/2016 15:50,41.87736408,-87.7019006,"(41.877364077, -87.701900603)"
22468,HZ259178,5/10/2016 18:25,077XX S ABERDEEN ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,612,6,17,71,01A,1170325,1853503,2016,5/17/2016 15:49,41.7534978,-87.6513902,"(41.753497803, -87.651390199)"
22469,HZ253408,5/10/2016 0:00,035XX W CHICAGO AVE,110,HOMICIDE,FIRST DEGREE MURDER,PORCH,FALSE,FALSE,1121,11,27,23,01A,1152482,1905105,2016,5/17/2016 15:49,41.89547004,-87.71541881,"(41.895470043, -87.715418807)"
22470,HZ259563,5/11/2016 0:52,074XX S INGLESIDE AVE,110,HOMICIDE,FIRST DEGREE MURDER,YARD,FALSE,FALSE,323,3,8,69,01A,1183849,1855919,2016,5/18/2016 15:50,41.7598227,-87.60175479,"(41.759822703, -87.60175479)"
